Id,High School Type,State,unweighted GPA,weighted GPA,SAT Math,SAT Verbal,SAT Writing,SAT 1600,SAT 2400,ACT,Class Rank,Status,,
344,Public,VA,3.96,3.96,700,730,,1430,1430,,23 of 400,Accepted,,
345,Public,PA,3.9,4.3,800,800,730,1600,2330,,2 of 532,Accepted,,
346,Public,NY,4,5,790,690,710,1480,2190,,10 of 194,Accepted,,
347,Public,LA,4,4.8,800,740,800,1540,2340,35,2 of 339,Accepted,,
348,Public,MA,3.63,4.57,760,740,760,1500,2260,,Top 10%,Will Attend,,
349,Public,PA,4,4.5,800,610,640,1410,2050,32,Top 10%,Will Attend,,
350,Public,CA,4,4.78,770,780,760,1550,2310,,Top 10%,Denied,,
351,Private,NY,2.65,,730,650,590,1380,1970,,DR,Accepted,,
352,Public,PA,3.5,4,620,640,590,1260,1850,,Top 10%,Accepted,,
353,Private,CA,3.75,4.15,,,,0,0,32,Top 10%,Denied,,
354,Public,,3.28,4.08,690,540,550,1230,1780,26,54 of 252,Denied,,
355,Public,PA,3.82,4.32,710,670,720,1380,2100,,Top 10%,Will Attend,,
356,Public,NM,4,5,,,,0,0,32,4 of 362,Accepted,,
357,Public,CA,3.93,4.53,800,760,660,1560,2220,35,6 of 406,Will Attend,,
358,Public,NJ,3.8,4,800,790,800,1590,2390,,DR,Accepted,,
359,Public,GA,4,5,680,680,620,1360,1980,,13 of 346,Denied,,
360,Public,MA,3.5,,770,640,670,1410,2080,,DR,Will Attend,,
361,Public,CT,3.5,4,590,800,760,1390,2150,,Top 25%,Will Attend,,
362,Private,,4,,790,760,780,1550,2330,,1 of 120,Will Attend,,
363,Public,PA,4,4.5,730,710,760,1440,2200,31,1 of 398,Will Attend,,
364,Public,NY,3.47,,800,750,800,1550,2350,,Top 10%,Accepted,,
365,Private,CA,3.5,3.59,610,600,650,1210,1860,,Top 25%,Accepted,,
366,Public,PA,4,,800,800,790,1600,2390,,Top 10%,Accepted,,
367,Public,MD,3.85,3.45,760,580,650,1340,1990,,Top 10%,Denied,,
368,Public,NY,4,,700,700,620,1400,2020,30,35 of 755,Accepted,,
369,Public,CT,4,4,700,700,730,1400,2130,,3 of 363,Accepted,,
370,Public,VA,3.8,4.1,710,640,600,1350,1950,,Top 10%,Denied,,
371,Public,NJ,3.65,4.22,750,700,680,1450,2130,,18 of 298,Denied,,
372,Public,OR,3.87,4.36,800,760,800,1560,2360,33,20 of 600,Will Attend,,
373,Public,MD,3.8,4.1,730,750,750,1480,2230,33,DR,Will Attend,,
374,Public,PA,3,3.5,670,760,710,1430,2140,,110 of 140,Denied,,
375,Public,AK,3.7,3.99,650,700,670,1350,2020,29,16 of 201,Accepted,,
376,Public,IL,3.73,4.65,,,,0,0,34,DR,Wait-Listed,,
377,Public,MI,3.8,3.9,,,,0,0,29,DR,Wait-Listed,,
378,Public,OH,4,4.35,,,,0,0,33,3 of 270,Wait-Listed,,
379,Public,CA,3.71,3.92,780,740,790,1520,2310,29,DR,Wait-Listed,,
380,Private,,4,,800,690,750,1490,2240,,1 of 70,Wait-Listed,,
381,Private,CA,3.58,3.75,780,760,680,1540,2220,,DR,Wait-Listed,,
382,Public,IN,3.4,4.5,760,730,690,1490,2180,,62 of 828,Wait-Listed,,
383,Public,MA,3.34,3.92,750,770,800,1520,2320,,DR,Wait-Listed,,
384,Public,PA,3.8,3.8,720,620,640,1340,1980,31,Top 10%,Wait-Listed,,
385,Public,CA,3.93,4.64,780,760,770,1540,2310,,6 of 681,Wait-Listed,,
386,Public,PA,3.76,4.44,720,610,720,1330,2050,,Top 10%,Wait-Listed,,
387,Public,NJ,3.85,4.38,800,620,800,1420,2220,31,36 of 380,Wait-Listed,,
388,Public,PA,3.73,,620,670,660,1290,1950,,49 of 342,Wait-Listed,,
389,Private,TX,3.9,,780,710,710,1490,2200,,Top 10%,Wait-Listed,,
390,Public,MD,3.42,4.28,600,640,640,1240,1880,,9 of 315,Wait-Listed,,
391,Public,CT,3.75,,700,690,680,1390,2070,29,Top 25%,Wait-Listed,,
392,Home,WI,3.98,,660,690,640,1350,1990,,DR,Wait-Listed,,
393,Public,TX,4,5,780,720,800,1500,2300,35,18 of 672,Wait-Listed,,
394,Private,CA,3.74,4.14,690,680,680,1370,2050,33,10 of 88,Wait-Listed,,
395,Public,CA,3.7,3.92,640,640,630,1280,1910,30,Top 10%,Wait-Listed,,
396,Public,CA,3.85,4.24,800,740,740,1540,2280,,Top 25%,Wait-Listed,,
397,Private,,3.52,3.62,740,690,710,1430,2140,28,Top 10%,Wait-Listed,,
398,Public,PA,3.71,,790,800,780,1590,2370,31,37 of 545,Wait-Listed,,
399,Public,PA,3.98,4.4,700,670,650,1370,2020,,2 of 181,Wait-Listed,,
400,Public,PA,3.8,,600,640,740,1240,1980,,16 of 520,Wait-Listed,,
401,Public,VA,3.85,3.85,720,640,690,1360,2050,,DR,Wait-Listed,,
402,Public,PA,4,4.4,610,680,600,1290,1890,28,5 of 405,Wait-Listed,,
403,Public,NY,3.9,4.15,,,,0,0,27,4 of 57,Wait-Listed,,
404,Private,NJ,3.5,3.7,740,610,730,1350,2080,32,DR,Wait-Listed,,
405,,NY,,,800,680,700,1480,2180,35,,Wait-Listed,,
406,Public,PA,4,4.5,800,680,780,1480,2260,,1 of 188,Wait-Listed,,
407,Public,WA,3.79,,700,670,650,1370,2020,35,49 of 464,Wait-Listed,,
408,Private,MD,4,,690,770,750,1460,2210,,DR,Wait-Listed,,
409,Public,MA,3.88,4.39,770,620,710,1390,2100,,DR,Wait-Listed,,
410,Public,CA,3.97,4.33,790,690,770,1480,2250,,24 of 576,Wait-Listed,,
411,Public,FL,3.97,4.67,760,780,720,1540,2260,34,Top 10%,Wait-Listed,,
412,Public,WA,3.82,4.7,760,740,690,1500,2190,35,DR,Wait-Listed,,
413,Public,PA,3.8,4.13,670,670,660,1340,2000,,43 of 370,Wait-Listed,,
414,Public,NY,4,4,660,670,620,1330,1950,,26 of 978,Wait-Listed,,
415,Public,CA,3.67,4.67,760,730,800,1490,2290,33,Top 10%,Wait-Listed,,
416,Public,CA,3.75,4.03,800,630,700,1430,2130,34,67 of 430,Wait-Listed,,
417,Public,NJ,3.44,,780,580,680,1360,2040,,DR,Wait-Listed,,
418,Private,,3.75,4.1,800,730,800,1530,2330,,DR,Wait-Listed,,
419,Private,,4,4.8,720,740,720,1460,2180,,DR,Wait-Listed,,
420,Public,MA,3.5,3.92,800,690,640,1490,2130,,Top 10%,Wait-Listed,,
421,Public,MD,3.93,4.59,690,680,700,1370,2070,32,DR,Wait-Listed,,
422,Public,SC,4,4.71,800,750,640,1550,2190,33,23 of 438,Wait-Listed,,
423,Public,TX,3.83,,790,740,800,1530,2330,,10 of 549,Wait-Listed,,
424,Public,CA,3.87,,,,,0,0,27,DR,Wait-Listed,,
425,Public,CA,3.83,4.38,,,,0,0,34,Top 10%,Wait-Listed,,
426,Public,NJ,3.85,4.49,800,800,710,1600,2310,,DR,Wait-Listed,,
427,Public,OH,3.96,,,,,0,0,33,Top 10%,Wait-Listed,,
428,Private,PR,3.7,,620,640,590,1260,1850,27,8 of 40,Wait-Listed,,
429,Public,NY,3.25,3.3,800,600,660,1400,2060,,Top 25%,Wait-Listed,,
430,Public,NJ,3.8,4.3,790,700,780,1490,2270,,Top 25%,Wait-Listed,,
431,Public,WI,3.94,4.04,,,,0,0,33,10 of 440,Wait-Listed,,
432,Home,HI,3.8,3.9,720,580,660,1300,1960,,Top 10%,Wait-Listed,,
433,Public,PA,3.8,4,660,740,680,1400,2080,,Top 25%,Wait-Listed,,
434,Public,CA,3.6,3.93,600,760,750,1360,2110,30,97 of 757,Wait-Listed,,
435,Private,MO,3.9,,760,690,730,1450,2180,34,DR,Wait-Listed,,
436,Public,CA,3.9,4.2,730,760,730,1490,2220,,Top 10%,Wait-Listed,,
437,Public,PA,3.95,4.7,720,760,780,1480,2260,,1 of 129,Wait-Listed,,
438,Parochial,OR,3.95,4.2,650,730,620,1380,2000,,Top 25%,Wait-Listed,,
439,Public,NY,3.9,,720,630,650,1350,2000,,12 of 386,Wait-Listed,,
440,Public,OH,3.9,4.07,720,740,660,1460,2120,35,18 of 232,Wait-Listed,,
441,Public,IL,3.3,3.8,650,710,730,1360,2090,31,116 of 561,Wait-Listed,,
442,Public,NJ,3.58,3.8,740,640,640,1380,2020,,Top 25%,Wait-Listed,,
443,Public,CO,4,4.7,700,730,630,1430,2060,34,1 of 328,Wait-Listed,,
444,Public,OR,3.9,4.2,680,640,600,1320,1920,29,11 of 260,Wait-Listed,,
445,Public,NJ,3.53,4.36,750,690,700,1440,2140,,29 of 297,Wait-Listed,,
446,Public,IL,3.49,4.02,800,800,800,1600,2400,36,Top 10%,Wait-Listed,,
447,Public,CA,4,,800,800,770,1600,2370,,1 of 750,Applied,,
448,Public,NY,3.7,3.7,740,740,660,1480,2140,,DR,Applied,,
449,Private,,3.7,,680,560,580,1240,1820,,DR,Applied,,
450,Private,,3.88,,760,690,700,1450,2150,,2 of 40,Applied,,
451,Private,,3.6,,690,670,700,1360,2060,,10 of 42,Applied,,
452,Public,CA,3.03,3.4,580,580,580,1160,1740,25,Top 25%,Applied,,
453,Public,NY,4,4.33,720,690,610,1410,2020,,1 of 184,Applied,,
454,Private,CA,3.43,3.84,720,710,700,1430,2130,,DR,Applied,,
455,Public,FL,3.58,4.46,760,700,710,1460,2170,,Top 10%,Applied,,
456,Parochial,CA,3.9,4.3,,,,0,0,31,DR,Applied,,
457,Public,WA,3.99,,800,710,770,1510,2280,,20 of 579,Applied,,
458,Private,CA,3.5,3.9,780,670,720,1450,2170,,DR,Applied,,
459,Public,NJ,3.88,4.45,770,660,730,1430,2160,31,4 of 358,Applied,,
460,Public,NY,3.62,3.84,780,680,690,1460,2150,36,DR,Applied,,
461,Private,PR,4,4.2,530,680,660,1210,1870,,5 of 54,Applied,,
462,Private,OH,3.8,4,800,650,700,1450,2150,,Top 10%,Applied,,
463,Private,NJ,3.6,3.6,740,600,560,1340,1900,,DR,Applied,,
464,Public,CT,3.89,,720,610,540,1330,1870,,8 of 300,Applied,,
465,Public,CA,3.88,,760,570,690,1330,2020,,Top 25%,Applied,,
466,Public,WI,3.98,3.98,,,,0,0,32,Top 10%,Applied,,
467,Public,CA,4,4.2,,,,0,0,35,DR,Applied,,
468,Public,CA,3.97,4.36,800,650,720,1450,2170,,DR,Applied,,
469,Public,MI,3.8,4.06,700,800,690,1500,2190,32,13 of 350,Applied,,
470,Private,NJ,3.89,4.24,770,590,630,1360,1990,,17 of 162,Applied,,
471,Public,IL,3.48,4.23,770,740,690,1510,2200,35,DR,Applied,,
472,Parochial,ID,3.45,,,,,0,0,28,108 of 182,Applied,,
473,Public,CA,3.56,4.32,800,700,800,1500,2300,,Top 25%,Applied,,
474,Public,TX,3.37,3.37,770,540,730,1310,2040,,Top 50%,Applied,,
475,Private,IN,,,,,,0,0,,,Applied,,
476,Public,KY,3.88,,750,770,800,1520,2320,,DR,Applied,,
477,Public,CA,3.51,3.82,660,670,610,1330,1940,29,Top 25%,Applied,,
478,Public,NY,3.8,3.86,730,640,650,1370,2020,31,45 of 583,Applied,,
479,Public,CA,3.97,4.41,600,670,590,1270,1860,,1 of 84,Applied,,
480,Public,CA,4,4.19,750,700,640,1450,2090,,Top 10%,Applied,,
481,Public,GA,3.64,3.64,720,610,680,1330,2010,,Top 25%,Applied,,
482,Public,CA,3.92,4.2,800,730,770,1530,2300,35,Top 10%,Applied,,
483,Parochial,NY,3.8,4.2,740,730,660,1470,2130,,6 of 64,Applied,,
484,Public,NY,4,4.7,730,730,640,1460,2100,31,1 of 173,Applied,,
485,Private,CA,3.98,4.65,750,800,720,1550,2270,36,DR,Applied,,
486,Private,TX,4,4.08,670,660,750,1330,2080,,5 of 82,Applied,,
487,Public,ID,4,4.56,770,670,670,1440,2110,30,1 of 303,Applied,,
488,Private,,3.52,3.89,710,650,670,1360,2030,,Top 10%,Applied,,
489,Private,MD,3.5,,610,610,670,1220,1890,,6 of 16,Applied,,
490,,NY,3.9,3.9,780,580,570,1360,1930,,Top 10%,Applied,,
491,Public,NY,3.83,,,,,0,0,34,Top 10%,Applied,,
492,Public,CA,4,4.3,800,560,680,1360,2040,,7 of 40,Applied,,
493,Public,OH,3.7,3.85,680,680,610,1360,1970,,21 of 361,Applied,,
494,Public,NJ,3,,560,430,430,990,1420,,DR,Applied,,
495,Parochial,MD,3.75,4,670,600,600,1270,1870,28,14 of 80,Applied,,
496,Private,NJ,3.22,,800,600,610,1400,2010,33,Top 50%,Applied,,
497,Public,PA,3.7,4.07,560,640,650,1200,1850,31,28 of 240,Applied,,
498,Public,ME,3.6,4.2,670,720,730,1390,2120,,Top 10%,Applied,,
499,Public,WA,3.88,4.3,630,580,650,1210,1860,28,Top 25%,Applied,,
500,Public,VA,3.5,4.2,,,,0,0,,Top 10%,Applied,,
501,Public,IL,3.94,,800,610,650,1410,2060,,DR,Applied,,
502,Public,OH,4,4.5,720,660,620,1380,2000,32,11 of 380,Applied,,
503,Public,PA,3.96,4.26,,,,0,0,32,12 of 107,Applied,,
504,Public,NH,2.9,3.3,620,750,690,1370,2060,,139 of 333,Applied,,
505,Public,NY,3.4,3.89,570,540,520,1110,1630,21,62 of 164,Applied,,
506,Public,MA,4,4.72,760,640,770,1400,2170,,DR,Applied,,
507,Public,CA,3.5,3.97,710,540,610,1250,1860,,49 of 550,Applied,,
508,Public,CA,3.4,3.7,800,720,740,1520,2260,,DR,Applied,,
509,Private,CA,3.88,4.17,680,660,800,1340,2140,,1 of 9,Applied,,
510,Public,CA,3.83,4,730,660,590,1390,1980,30,Top 25%,Applied,,
511,Public,MI,3.66,,700,700,700,1400,2100,31,Top 10%,Applied,,
512,Public,,4,,800,660,660,1460,2120,,Top 10%,Applied,,
513,Public,PA,2.43,2.58,660,620,640,1280,1920,,DR,Applied,,
514,Public,CA,3.6,4.2,720,670,690,1390,2080,,40 of 860,Applied,,
515,Private,FL,3.85,4.41,690,680,760,1370,2130,31,DR,Applied,,
516,Public,OH,3.96,,,,,0,0,33,15 of 450,Applied,,
517,Public,NJ,3.89,,750,725,730,1475,2205,31,Top 25%,Applied,,
518,Public,CA,3.95,4.57,800,710,790,1510,2300,,5 of 176,Applied,,
519,Private,CA,4,4.55,790,590,680,1380,2060,32,7 of 137,Applied,,
520,Public,NY,4,,600,650,700,1250,1950,,Top 25%,Applied,,
521,Public,MD,3.3,3.5,670,650,730,1320,2050,,125 of 700,Applied,,
522,Private,,3.8,,800,540,560,1340,1900,,6 of 60,Applied,,
523,Public,NJ,3.7,4.45,560,540,470,1100,1570,25,13 of 332,Applied,,
524,Private,,3.9,3.75,680,690,680,1370,2050,31,DR,Applied,,
525,,NY,4,5,740,540,590,1280,1870,,12 of 291,Applied,,
526,Public,CA,3.72,4.22,740,700,680,1440,2120,33,Top 10%,Applied,,
527,Public,CA,3.86,4.29,,,,0,0,34,Top 10%,Applied,,
528,Public,OH,3.9,4.3,,,,0,0,32,DR,Applied,,
529,Private,TX,3.75,3.96,780,730,670,1510,2180,,1 of 33,Applied,,
530,Public,NJ,3.9,4.1,760,690,780,1450,2230,,Top 25%,Applied,,
531,Public,WA,4,4.18,800,800,750,1600,2350,,1 of 450,Applied,,
532,Public,NY,4,4.3,,,,0,0,35,DR,Applied,,
533,Public,AZ,4,4.83,790,640,650,1430,2080,32,3 of 780,Applied,,
534,Public,VA,4,4.11,720,600,600,1320,1920,29,30 of 300,Applied,,
535,Public,NY,3.98,,780,630,630,1410,2040,33,13 of 550,Applied,,
536,Public,TX,3.41,4.59,670,560,660,1230,1890,29,Top 50%,Applied,,
537,Public,WV,3.23,3.34,800,670,700,1470,2170,,Top 50%,Applied,,
538,Public,VA,3.35,3.4,720,680,690,1400,2090,,DR,Applied,,
539,Public,IN,3.89,4.54,800,760,730,1560,2290,,40 of 430,Applied,,
540,Private,SC,3.65,4.5,610,650,680,1260,1940,27,DR,Applied,,
541,Public,PA,3.8,,710,720,670,1430,2100,,15 of 364,Applied,,
542,Public,MI,3.68,,610,630,700,1240,1940,30,DR,Applied,,
543,Public,CT,3.81,4.16,800,730,790,1530,2320,34,Top 10%,Applied,,
544,Public,NJ,3.8,3.8,710,640,610,1350,1960,31,Top 25%,Applied,,
545,Public,OH,4,4.23,800,620,760,1420,2180,31,2 of 400,Applied,,
546,Public,FL,4,4.79,690,720,670,1410,2080,33,7 of 158,Applied,,
547,Private,CT,3.93,,720,740,690,1460,2150,35,DR,Applied,,
548,Public,FL,3.62,4.38,800,740,730,1540,2270,32,DR,Applied,,
549,Public,NY,4,5,700,770,680,1470,2150,,2 of 702,Applied,,
550,,NY,3.93,,800,720,710,1520,2230,,Top 10%,Applied,,
551,Parochial,FL,3.7,3.72,800,610,610,1410,2020,,Top 10%,Applied,,
552,Private,MN,4,4,,,,0,0,29,Top 10%,Applied,,
553,Public,CA,3.81,4.12,800,730,750,1530,2280,36,Top 10%,Applied,,
554,Public,NY,3,,620,560,540,1180,1720,,DR,Applied,,
555,Public,NY,4,,800,700,630,1500,2130,,Top 25%,Applied,,
556,Public,FL,3.8,4.32,740,720,790,1460,2250,34,Top 10%,Applied,,
557,Public,MI,3.87,4.43,750,660,640,1410,2050,35,3 of 303,Applied,,
558,Public,NJ,2.96,3.64,710,630,630,1340,1970,28,DR,Applied,,
559,Public,OH,3.98,,,,,0,0,,5 of 311,Applied,,
560,Parochial,MS,3.96,4.2,690,800,670,1490,2160,,DR,Applied,,
561,Public,FL,3.9,5,670,620,650,1290,1940,28,2 of 289,Applied,,
562,Public,CA,3.83,3.83,610,610,610,1220,1830,,800 of 1000,Applied,,
563,Public,MA,3.5,3.7,620,610,540,1230,1770,28,Top 25%,Applied,,
564,Public,MD,2.9,3.26,600,730,660,1330,1990,,,Applied,,
565,Parochial,CA,3.7,3.83,,,,0,0,32,10 of 40,Applied,,
566,Public,OH,4,4.45,,,,0,0,35,1 of 322,Applied,,
567,Public,MD,3.98,4.67,740,760,720,1500,2220,,DR,Applied,,
568,Public,NJ,3.87,,,,,0,0,28,Top 10%,Applied,,
569,Public,,4,5,710,530,610,1240,1850,,1 of 44,Applied,,
570,Public,NY,3.75,4.2,690,750,670,1440,2110,33,6 of 141,Applied,,
571,Public,PA,4,4.14,720,630,720,1350,2070,,4 of 211,Applied,,
572,Public,RI,3.84,4.06,720,660,590,1380,1970,,DR,Applied,,
573,Public,NY,3.7,,800,620,710,1420,2130,32,DR,Applied,,
574,Public,,3.6,3.8,700,620,580,1320,1900,,400 of 2500,Applied,,
575,Private,,3.5,3.8,700,600,650,1300,1950,,DR,Applied,,
576,Public,MD,3.85,4.67,710,650,730,1360,2090,34,DR,Applied,,
577,Private,,3.4,3.5,720,700,640,1420,2060,30,1 of 42,Applied,,
578,Public,WA,3.75,4.02,,,,0,0,29,Top 25%,Applied,,
579,Public,NY,3.68,,690,480,570,1170,1740,,20 of 167,Applied,,
580,Public,CA,3.9,4.3,800,660,580,1460,2040,31,4 of 500,Applied,,
581,Public,NJ,3.5,3.8,800,700,800,1500,2300,,Top 25%,Applied,,
582,Public,PA,3.65,4.13,730,640,630,1370,2000,,17 of 137,Applied,,
583,Public,OR,3.85,,800,680,690,1480,2170,31,47 of 442,Applied,,
584,,NY,4,,760,690,720,1450,2170,,2 of 20,Applied,,
585,Public,VA,3.83,3.83,740,670,680,1410,2090,31,DR,Applied,,
586,Public,FL,3.8,,650,630,730,1280,2010,26,3 of 288,Applied,,
587,Public,NJ,3.98,4.48,770,670,720,1440,2160,,23 of 193,Applied,,
588,Private,FL,3.95,4.3,800,660,620,1460,2080,,1 of 250,Applied,,
589,Public,NY,3.95,4,800,770,770,1570,2340,,15 of 440,Applied,,
590,Private,CA,3.7,4.01,,,,0,0,33,11 of 110,Applied,,
591,Public,NJ,2.74,3,,,,0,0,24,Top 50%,Applied,,
592,Parochial,OH,3.9,3.9,,,,0,0,31,Top 10%,Applied,,
593,Public,MA,3.8,4.2,740,680,640,1420,2060,32,4 of 200,Applied,,
594,Public,VA,3.9,4.2,,,,0,0,34,5 of 320,Applied,,
595,Public,CO,3.67,3.84,620,680,650,1300,1950,29,54 of 402,Applied,,
596,Public,,4,4,790,786,779,1576,2355,33,118 of 500,Applied,,
597,Home,MD,3.92,,760,730,670,1490,2160,,DR,Applied,,
598,Private,CA,3.9,4.37,700,600,600,1300,1900,28,Top 25%,Applied,,
599,Public,WA,3.49,3.8,620,510,490,1130,1620,25,73 of 412,Applied,,
600,Public,CA,4,,800,600,530,1400,1930,,Top 10%,Applied,,
601,Public,MD,3.6,5,,,,0,0,32,11 of 200,Applied,,
602,Parochial,CA,3.8,4.1,,,,0,0,33,DR,Applied,,
603,Public,FL,3.21,4.7,620,490,470,1110,1580,25,65 of 936,Applied,,
604,Private,CA,3.3,3.8,730,570,690,1300,1990,28,DR,Applied,,
605,Public,FL,3.6,4.5,530,540,570,1070,1640,23,Top 10%,Applied,,
606,Public,PA,4,4.63,800,800,720,1600,2320,34,1 of 103,Applied,,
607,Private,IL,3.91,4.5,620,600,550,1220,1770,30,DR,Applied,,
608,Public,OH,3.76,4.13,700,680,730,1380,2110,33,Top 10%,Applied,,
609,Public,NY,4,4.3,720,730,640,1450,2090,30,2 of 230,Applied,,
610,Private,NY,3.8,4.04,530,510,530,1040,1570,,Top 25%,Applied,,
611,Public,NY,3.7,3.9,700,630,650,1330,1980,,Top 10%,Applied,,
612,Public,NJ,3.6,3.3,760,620,610,1380,1990,,Top 25%,Applied,,
613,Public,CT,3.5,4.08,720,710,630,1430,2060,31,54 of 300,Applied,,
614,Public,WA,3.6,,740,720,740,1460,2200,33,DR,Applied,,
615,Public,CA,3.74,4.19,800,630,660,1430,2090,34,Top 10%,Applied,,
616,Parochial,FL,4,4.19,750,760,740,1510,2250,,Top 10%,Applied,,
617,Public,PA,4,4.7,680,670,670,1350,2020,,8 of 278,Applied,,
618,Public,CA,3.6,3.87,770,790,690,1560,2250,34,Top 25%,Applied,,
619,Public,CA,3.5,3.8,770,690,690,1460,2150,,71 of 644,Applied,,
620,Public,TX,3.8,4.14,,,,0,0,33,100 of 1258,Applied,,
621,Parochial,NY,3.85,4.35,720,680,750,1400,2150,33,Top 10%,Applied,,
622,Parochial,NJ,3.87,4.35,740,680,710,1420,2130,32,2 of 200,Applied,,
623,Public,CA,3.76,4.17,800,720,730,1520,2250,,DR,Applied,,
624,Public,CA,3.59,4.07,,,,0,0,32,Top 25%,Applied,,
625,Public,PA,4,4,610,650,690,1260,1950,31,37 of 401,Applied,,
626,Public,MA,3.71,,740,710,710,1450,2160,,DR,Applied,,
627,Public,WA,3.95,4.45,780,660,680,1440,2120,31,28 of 380,Applied,,
628,Public,TX,3.9,4.3,790,740,790,1530,2320,,11 of 350,Applied,,
629,Public,TX,3.51,4.34,690,760,670,1450,2120,35,Top 25%,Applied,,
630,Public,NH,3.7,,750,600,680,1350,2030,,Top 10%,Applied,,
631,Public,NJ,3.84,4.24,670,710,730,1380,2110,,35 of 147,Applied,,
632,Public,PA,3.7,4.4,750,670,680,1420,2100,,Top 10%,Applied,,
633,Public,CA,3.3,3.5,680,640,700,1320,2020,,DR,Applied,,
634,Public,CA,3.3,3.5,770,700,630,1470,2100,,Top 25%,Applied,,
635,Parochial,NY,3.95,4.22,720,800,770,1520,2290,,1 of 700,Applied,,
636,Private,,3.75,,760,660,670,1420,2090,,DR,Applied,,
637,Public,NY,3.6,,780,700,630,1480,2110,,DR,Applied,,
638,Public,NJ,3.7,4,780,530,570,1310,1880,,25 of 577,Applied,,
639,Public,,3.85,,760,800,670,1560,2230,,5 of 113,Applied,,
640,Parochial,MA,3.93,4.2,690,730,780,1420,2200,,5 of 225,Applied,,
641,Parochial,WA,3.8,,760,710,670,1470,2140,,DR,Applied,,
642,Private,OR,3.82,,780,540,650,1320,1970,,DR,Applied,,
643,Public,FL,3.5,4.2,800,640,580,1440,2020,30,95 of 501,Applied,,
644,Public,GA,3.89,3.75,,,,0,0,30,39 of 575,Applied,,
645,Private,,,,,,,0,0,31,,Applied,,
646,Parochial,,3.72,4.1,740,620,700,1360,2060,,Top 25%,Applied,,
647,Public,CA,4,,750,790,740,1540,2280,,Top 10%,Applied,,
648,Public,TX,3.5,,660,600,560,1260,1820,27,Bottom 50%,Applied,,
649,Parochial,CT,,,,,,0,0,,,Applied,,
650,Public,NY,3.5,3.8,790,650,680,1440,2120,,24 of 264,Applied,,
651,Private,NY,3.75,,,,,0,0,36,DR,Applied,,
652,Public,PA,3.89,4.12,630,580,580,1210,1790,,39 of 568,Applied,,
653,Public,MA,3.95,4.4,770,800,760,1570,2330,,3 of 250,Applied,,
654,Public,NJ,3.36,3.94,690,540,560,1230,1790,,Top 25%,Applied,,
655,Public,VA,3.5,,700,560,640,1260,1900,,48 of 187,Applied,,
656,Public,NJ,,3.71,730,700,610,1430,2040,,DR,Applied,,
657,Public,PA,3.95,4.45,800,700,660,1500,2160,33,6 of 330,Applied,,
658,Public,OH,3.7,3.9,710,630,600,1340,1940,30,48 of 240,Applied,,
659,Public,OR,4,4.48,800,780,750,1580,2330,36,1 of 386,Applied,,
660,Public,CA,3.83,,560,570,580,1130,1710,,DR,Applied,,
661,Public,OH,3.4,,,,,0,0,,127 of 257,Applied,,
662,Public,MD,4,4.76,800,800,800,1600,2400,,2 of 383,Applied,,
663,Public,TX,3.7,3.88,650,650,650,1300,1950,,17 of 94,Applied,,
664,Public,CA,3.95,4.75,,,,0,0,29,6 of 464,Applied,,
665,Public,PA,4,,680,670,670,1350,2020,29,Top 10%,Applied,,
666,Private,CA,3.85,4.1,630,670,740,1300,2040,,25 of 130,Applied,,
667,Public,CA,3.62,3.68,520,590,590,1110,1700,,Top 50%,Applied,,
668,Public,PA,4,4.44,740,660,660,1400,2060,,2 of 150,Applied,,
669,Private,,3.59,4.25,720,670,700,1390,2090,,DR,Applied,,
670,Public,NH,4,,,,,0,0,35,5 of 225,Applied,,
671,Public,IL,3.93,4.49,700,730,670,1430,2100,34,3 of 400,Applied,,
672,Public,NJ,4,,770,740,800,1510,2310,,Top 10%,Applied,,
673,Public,NJ,3.86,4.6,800,780,770,1580,2350,,2 of 166,Applied,,
674,Public,CA,3.75,4.25,710,680,660,1390,2050,,DR,Applied,,
675,Private,,3.85,4.1,800,670,700,1470,2170,,DR,Applied,,
676,Public,NJ,,3.65,650,560,640,1210,1850,,Top 25%,Applied,,
677,Private,OH,3.8,3.9,680,660,620,1340,1960,31,DR,Applied,,
678,Parochial,PA,4,4.25,,,,0,0,32,1 of 38,Applied,,
679,Public,FL,3.97,4.97,630,620,600,1250,1850,27,4 of 452,Applied,,
680,Public,NJ,4,4.48,740,700,780,1440,2220,,3 of 410,Applied,,
681,Public,PA,4,4.1,730,610,570,1340,1910,32,3 of 260,Applied,,
682,Parochial,,3.7,,740,700,720,1440,2160,,Top 10%,Applied,,
683,Public,CA,3.81,4.8,780,620,690,1400,2090,34,7 of 622,Applied,,
684,Public,PA,3.88,,690,690,660,1380,2040,34,Top 10%,Applied,,
685,Public,NY,3.71,,660,570,690,1230,1920,27,,Applied,,
686,Public,PA,3.98,4.7,730,630,530,1360,1890,,1 of 181,Applied,,
687,Public,NY,3.73,4,800,700,700,1500,2200,,Top 10%,Applied,,
688,Public,NJ,3.3,3.8,750,760,690,1510,2200,,DR,Applied,,
689,,NY,3.98,4.49,800,780,720,1580,2300,35,Top 10%,Applied,,
690,Public,NY,4,,,,,0,0,30,7 of 316,Applied,,
691,Public,OH,3.8,5,660,660,610,1320,1930,30,4 of 580,Applied,,
692,Public,FL,3.1,3.4,490,600,610,1090,1700,22,236 of 331,Applied,,
693,Public,NY,4,4,780,580,630,1360,1990,,3 of 404,Applied,,
