Id,High School Type,State,unweighted GPA,weighted GPA,SAT Math,SAT Verbal,SAT Writing,SAT 1600,SAT 2400,ACT,Class Rank,Status,,
80,Public,PA,3.99,4.42,800,700,710,1500,2210,,1 of 543,Accepted,,
81,Public,CA,4,4.52,,,,0,0,27,1 of 459,Deferred,,
82,Public,MD,3.57,4.18,800,740,670,1540,2210,,57 of 350,Accepted,,
83,Private,,3.7,,720,530,600,1250,1850,25,Top 25%,Denied,,
84,Public,WA,3.94,4.52,800,720,750,1520,2270,,36 of 396,Accepted,,
85,Public,MA,3.57,4.52,730,690,730,1420,2150,32,DR,Denied,,
86,Public,NJ,3.4,4.03,750,680,790,1430,2220,31,Top 25%,Accepted,,
87,Home,CA,4,4.09,740,750,730,1490,2220,,2 of 24,Accepted,,
88,Public,NY,4,4.54,790,770,800,1560,2360,,1 of 153,Accepted,,
89,Public,CA,3.67,4,570,600,500,1170,1670,26,3 of 23,Denied,,
90,Public,MA,,4.15,650,660,740,1310,2050,,8 of 245,Accepted,,
91,Private,TX,3.96,4.26,740,800,800,1540,2340,35,17 of 206,Withdrawn,,
92,Public,VA,3.7,4.2,,,,0,0,34,Top 10%,Denied,,
93,Public,NC,3.9,4.4,700,700,730,1400,2130,35,3 of 405,Accepted,,
94,Public,NJ,3.4,3.5,710,720,660,1430,2090,32,DR,Denied,,
95,Public,MA,3.71,4.15,600,680,620,1280,1900,,19 of 282,Denied,,
96,Private,ME,3.9,4.8,670,600,670,1270,1940,,2 of 196,Accepted,,
97,Public,TX,4,4.02,740,620,710,1360,2070,,4 of 489,Accepted,,
98,Public,KS,3.99,4.25,,,,0,0,30,9 of 206,Accepted,,
99,Public,,,,770,580,580,1350,1930,27,DR,Denied,,
100,Public,CA,3.8,4.2,800,760,,1560,1560,,DR,Accepted,,
101,Public,NH,3.9,4.08,690,610,590,1300,1890,,1 of 80,Denied,,
102,Public,MD,3.84,5,630,570,720,1200,1920,,47 of 350,Accepted,,
103,Public,VA,3.3,3.4,630,650,590,1280,1870,,Top 25%,Will Attend,,
104,Public,CT,3.7,4,800,650,670,1450,2120,30,8 of 531,Accepted,,
